profile,type,state,time,price,source
baseload,black,NSW,1/12/2059,40.4,forecast
solar,black,NSW,1/12/2059,17.9,forecast
wind,black,NSW,1/12/2059,36.8,forecast
solar,green,NSW,1/12/2059,10,forecast
wind,green,NSW,1/12/2059,10,forecast
baseload,black,QLD,1/12/2059,51,forecast
solar,black,QLD,1/12/2059,25.6,forecast
wind,black,QLD,1/12/2059,46.9,forecast
solar,green,QLD,1/12/2059,10,forecast
wind,green,QLD,1/12/2059,10,forecast
baseload,black,SA,1/12/2059,52.3,forecast
solar,black,SA,1/12/2059,27.4,forecast
wind,black,SA,1/12/2059,44.2,forecast
solar,green,SA,1/12/2059,10,forecast
wind,green,SA,1/12/2059,10,forecast
baseload,black,NSW,1/11/2059,38.6,forecast
solar,black,NSW,1/11/2059,20.5,forecast
wind,black,NSW,1/11/2059,36.1,forecast
solar,green,NSW,1/11/2059,10,forecast
wind,green,NSW,1/11/2059,10,forecast
baseload,black,QLD,1/11/2059,51.5,forecast
solar,black,QLD,1/11/2059,28.2,forecast
wind,black,QLD,1/11/2059,50.8,forecast
solar,green,QLD,1/11/2059,10,forecast
wind,green,QLD,1/11/2059,10,forecast
baseload,black,SA,1/11/2059,39.2,forecast
solar,black,SA,1/11/2059,16,forecast
wind,black,SA,1/11/2059,34.2,forecast
solar,green,SA,1/11/2059,10,forecast
wind,green,SA,1/11/2059,10,forecast
baseload,black,NSW,1/10/2059,56.2,forecast
solar,black,NSW,1/10/2059,32.8,forecast
wind,black,NSW,1/10/2059,53.4,forecast
solar,green,NSW,1/10/2059,10,forecast
wind,green,NSW,1/10/2059,10,forecast
baseload,black,QLD,1/10/2059,41.2,forecast
solar,black,QLD,1/10/2059,17.2,forecast
wind,black,QLD,1/10/2059,42,forecast
solar,green,QLD,1/10/2059,10,forecast
wind,green,QLD,1/10/2059,10,forecast
baseload,black,SA,1/10/2059,48.7,forecast
solar,black,SA,1/10/2059,16.9,forecast
wind,black,SA,1/10/2059,40.6,forecast
solar,green,SA,1/10/2059,10,forecast
wind,green,SA,1/10/2059,10,forecast
baseload,black,NSW,1/09/2059,76,forecast
solar,black,NSW,1/09/2059,38.1,forecast
wind,black,NSW,1/09/2059,68.5,forecast
solar,green,NSW,1/09/2059,10,forecast
wind,green,NSW,1/09/2059,10,forecast
baseload,black,QLD,1/09/2059,59,forecast
solar,black,QLD,1/09/2059,21.4,forecast
wind,black,QLD,1/09/2059,58.2,forecast
solar,green,QLD,1/09/2059,10,forecast
wind,green,QLD,1/09/2059,10,forecast
baseload,black,SA,1/09/2059,84.7,forecast
solar,black,SA,1/09/2059,23.4,forecast
wind,black,SA,1/09/2059,75.4,forecast
solar,green,SA,1/09/2059,10,forecast
wind,green,SA,1/09/2059,10,forecast
baseload,black,NSW,1/08/2059,169.3,forecast
solar,black,NSW,1/08/2059,76.6,forecast
wind,black,NSW,1/08/2059,134.9,forecast
solar,green,NSW,1/08/2059,10,forecast
wind,green,NSW,1/08/2059,10,forecast
baseload,black,QLD,1/08/2059,119.5,forecast
solar,black,QLD,1/08/2059,50,forecast
wind,black,QLD,1/08/2059,118.3,forecast
solar,green,QLD,1/08/2059,10,forecast
wind,green,QLD,1/08/2059,10,forecast
baseload,black,SA,1/08/2059,145.5,forecast
solar,black,SA,1/08/2059,75.5,forecast
wind,black,SA,1/08/2059,108.8,forecast
solar,green,SA,1/08/2059,10,forecast
wind,green,SA,1/08/2059,10,forecast
baseload,black,NSW,1/07/2059,166.1,forecast
solar,black,NSW,1/07/2059,95.7,forecast
wind,black,NSW,1/07/2059,132.6,forecast
solar,green,NSW,1/07/2059,10,forecast
wind,green,NSW,1/07/2059,10,forecast
baseload,black,QLD,1/07/2059,135,forecast
solar,black,QLD,1/07/2059,53.6,forecast
wind,black,QLD,1/07/2059,121.1,forecast
solar,green,QLD,1/07/2059,10,forecast
wind,green,QLD,1/07/2059,10,forecast
baseload,black,SA,1/07/2059,188.5,forecast
solar,black,SA,1/07/2059,101.2,forecast
wind,black,SA,1/07/2059,142.2,forecast
solar,green,SA,1/07/2059,10,forecast
wind,green,SA,1/07/2059,10,forecast
baseload,black,NSW,1/06/2059,218.7,forecast
solar,black,NSW,1/06/2059,142.1,forecast
wind,black,NSW,1/06/2059,204.1,forecast
solar,green,NSW,1/06/2059,10,forecast
wind,green,NSW,1/06/2059,10,forecast
baseload,black,QLD,1/06/2059,153.6,forecast
solar,black,QLD,1/06/2059,91.6,forecast
wind,black,QLD,1/06/2059,138.2,forecast
solar,green,QLD,1/06/2059,10,forecast
wind,green,QLD,1/06/2059,10,forecast
