profile,type,state,year,price
solar,black,NSW,2024,75
solar,black,NSW,2025,77
solar,black,NSW,2026,79
solar,black,NSW,2027,81
solar,black,NSW,2028,83
solar,black,NSW,2029,85
solar,black,NSW,2030,87
solar,black,VIC,2024,70
solar,black,VIC,2025,72
solar,black,VIC,2026,74
solar,black,VIC,2027,76
solar,black,VIC,2028,78
solar,black,VIC,2029,80
solar,black,VIC,2030,82
solar,black,QLD,2024,65
solar,black,QLD,2025,67
solar,black,QLD,2026,69
solar,black,QLD,2027,71
solar,black,QLD,2028,73
solar,black,QLD,2029,75
solar,black,QLD,2030,77
solar,black,SA,2024,80
solar,black,SA,2025,82
solar,black,SA,2026,84
solar,black,SA,2027,86
solar,black,SA,2028,88
solar,black,SA,2029,90
solar,black,SA,2030,92
solar,green,NSW,2024,25
solar,green,NSW,2025,26
solar,green,NSW,2026,27
solar,green,NSW,2027,28
solar,green,NSW,2028,29
solar,green,NSW,2029,30
solar,green,NSW,2030,31
solar,green,VIC,2024,25
solar,green,VIC,2025,26
solar,green,VIC,2026,27
solar,green,VIC,2027,28
solar,green,VIC,2028,29
solar,green,VIC,2029,30
solar,green,VIC,2030,31
solar,green,QLD,2024,25
solar,green,QLD,2025,26
solar,green,QLD,2026,27
solar,green,QLD,2027,28
solar,green,QLD,2028,29
solar,green,QLD,2029,30
solar,green,QLD,2030,31
solar,green,SA,2024,25
solar,green,SA,2025,26
solar,green,SA,2026,27
solar,green,SA,2027,28
solar,green,SA,2028,29
solar,green,SA,2029,30
solar,green,SA,2030,31
wind,black,NSW,2024,65
wind,black,NSW,2025,67
wind,black,NSW,2026,69
wind,black,NSW,2027,71
wind,black,NSW,2028,73
wind,black,NSW,2029,75
wind,black,NSW,2030,77
wind,black,VIC,2024,60
wind,black,VIC,2025,62
wind,black,VIC,2026,64
wind,black,VIC,2027,66
wind,black,VIC,2028,68
wind,black,VIC,2029,70
wind,black,VIC,2030,72
wind,black,QLD,2024,55
wind,black,QLD,2025,57
wind,black,QLD,2026,59
wind,black,QLD,2027,61
wind,black,QLD,2028,63
wind,black,QLD,2029,65
wind,black,QLD,2030,67
wind,black,SA,2024,70
wind,black,SA,2025,72
wind,black,SA,2026,74
wind,black,SA,2027,76
wind,black,SA,2028,78
wind,black,SA,2029,80
wind,black,SA,2030,82
wind,green,NSW,2024,28
wind,green,NSW,2025,29
wind,green,NSW,2026,30
wind,green,NSW,2027,31
wind,green,NSW,2028,32
wind,green,NSW,2029,33
wind,green,NSW,2030,34
wind,green,VIC,2024,28
wind,green,VIC,2025,29
wind,green,VIC,2026,30
wind,green,VIC,2027,31
wind,green,VIC,2028,32
wind,green,VIC,2029,33
wind,green,VIC,2030,34
wind,green,QLD,2024,28
wind,green,QLD,2025,29
wind,green,QLD,2026,30
wind,green,QLD,2027,31
wind,green,QLD,2028,32
wind,green,QLD,2029,33
wind,green,QLD,2030,34
wind,green,SA,2024,28
wind,green,SA,2025,29
wind,green,SA,2026,30
wind,green,SA,2027,31
wind,green,SA,2028,32
wind,green,SA,2029,33
wind,green,SA,2030,34
